Student_ID,login_frequency,avg_session_duration,completed_assignments,quiz_scores_avg,forum_participation,resource_views,task_completion_time,task_accuracy,error_count,repetition_needed,motion_intensity,safety_violations,attention_span_score,fatigue_level,collaboration_index,performance_score,efficiency_gain,instruction_recommendation,Age,Gender,Grade_Level,ID_Level,Adaptive_Functioning,Independent_Learning,Assistance_Level,Working_Memory,Attention_Control,Processing_Speed,Executive_Function,Reasoning_Skill,Reading_Level,Language_Comprehension,Vocabulary_Level,Communication_Mode,Motivation,Emotional_Regulation,Social_Interaction,Sensory_Sensitivity,Preferred_Learning_Mode,Prompt_Dependency,Repetition_Need,Activity_Duration,Literacy_Level,Numeracy_Level,Daily_Living_Skills,Task_Complexity_Tolerance,Recommended_Difficulty,Recommended_Content,Visual_Support,Audio_Support,Session_Length
S011,23,32.0,7,65.0,19,51,26.0,65.6,7,2,0.7,1,0.65,0.12,0.6,63.6,14.6,Competency-Based,16,Male,8,Mild,4,High,Minimal,7.0,8,6,5.0,5.0,Intermediate,High,High,Verbal,7,9,7,Low,Hands-on,Low,Medium,Long,7,7,9,High,Medium,Flashcards,No,Yes,25
S012,6,39.0,8,60.7,1,44,23.3,85.8,0,2,0.33,1,0.42,0.26,0.85,65.8,7.1,Adaptive,12,Female,5,Mild,4,High,Minimal,6.0,6,7,9.0,7.0,Intermediate,High,High,Verbal,9,6,6,Low,Visual,Medium,Low,Medium,6,7,8,High,Medium,Worksheet,No,No,25
S013,10,37.3,8,91.9,13,42,19.7,68.5,1,1,0.38,1,0.47,0.32,0.86,71.8,18.8,Adaptive,8,Male,7,Moderate,2,Medium,Partial,5.0,3,2,3.0,3.0,Emerging,Medium,Low,AAC,5,3,4,Medium,Audio,Low,High,Short,4,7,6,Medium,Easy,Flashcards,Yes,No,20
S014,5,32.5,9,54.8,3,14,17.9,76.4,1,2,0.47,1,0.63,0.38,0.4,58.1,6.4,Competency-Based,9,Male,10,Mild,4,High,Partial,6.0,6,4,7.0,5.0,Intermediate,High,High,AAC,9,8,8,Low,Visual,Medium,Medium,Medium,8,4,7,High,Medium,Story,Yes,Yes,25
S015,24,28.4,3,81.5,0,39,9.9,87.3,1,3,0.34,0,0.43,0.27,0.3,74.3,19.3,Adaptive,18,Female,3,Mild,4,High,Minimal,3.0,7,6,5.0,6.0,Intermediate,High,High,Non-verbal,6,3,7,High,Visual,Low,Medium,Medium,9,5,7,High,Medium,Worksheet,Yes,No,25
S016,23,19.5,8,58.5,17,55,16.8,81.4,3,2,0.42,1,0.62,0.24,0.89,63.7,14.2,Competency-Based,11,Male,12,Mild,5,High,Minimal,5.0,7,8,4.0,7.0,Intermediate,High,Medium,Non-verbal,7,9,6,Low,Audio,Low,Low,Medium,8,6,9,High,Medium,Story,Yes,Yes,20
S017,4,17.4,3,89.7,12,53,28.0,76.2,2,1,0.72,1,0.66,0.77,0.84,64.1,5.0,Competency-Based,11,Female,4,Mild,4,High,Minimal,5.0,7,9,8.0,10.0,Beginner,High,Medium,Non-verbal,9,6,8,Low,Hands-on,Medium,Low,Long,5,8,5,High,Medium,Video,No,No,30
S018,14,58.1,8,93.3,1,36,25.8,72.4,1,2,0.77,0,0.65,0.74,0.33,65.1,18.4,Competency-Based,17,Female,3,Mild,4,Low,Minimal,6.0,7,6,7.0,8.0,Intermediate,High,High,Verbal,9,5,7,High,Visual,Medium,Medium,Medium,6,7,4,High,Medium,Story,No,No,30
S019,8,53.1,2,70.9,8,11,12.8,91.9,6,2,0.45,0,0.88,0.13,0.8,73.7,12.8,Adaptive,17,Female,4,Mild,4,High,Minimal,6.0,6,6,9.0,7.0,Intermediate,High,High,Verbal,6,4,6,Medium,Hands-on,Low,Medium,Medium,8,5,9,High,Easy,Video,Yes,No,25
S020,4,31.0,8,89.6,1,25,18.3,65.5,1,3,0.43,0,0.69,0.34,0.57,69.6,8.9,Adaptive,12,Female,5,Mild,4,High,Minimal,6.0,7,6,8.0,6.0,Beginner,High,Medium,Non-verbal,6,10,9,Low,Mixed,Low,Low,Medium,5,8,8,High,Medium,Video,Yes,Yes,25
S021,23,58.1,6,50.2,8,24,26.0,76.3,5,2,0.44,0,0.66,0.38,0.46,55.9,16.5,Competency-Based,18,Female,9,Mild,4,High,Partial,6.0,6,8,8.0,7.0,Intermediate,High,High,AAC,8,6,6,Medium,Hands-on,Medium,Medium,Long,7,4,4,High,Medium,Quiz,No,No,15
S022,3,45.5,4,86.9,0,30,9.5,94.3,7,3,0.44,0,0.63,0.27,0.83,78.0,18.9,Adaptive,13,Male,11,Mild,3,High,Minimal,7.0,5,6,9.0,3.0,Beginner,High,Medium,Non-verbal,6,6,8,High,Visual,Low,Medium,Medium,6,7,10,High,Hard,Worksheet,Yes,No,20
S023,14,36.7,9,60.3,10,8,16.5,92.1,0,3,0.32,1,0.85,0.54,0.42,62.0,12.3,Competency-Based,14,Male,12,Mild,4,High,Minimal,8.0,10,8,6.0,8.0,Beginner,High,Medium,Non-verbal,8,8,7,High,Audio,Medium,Medium,Long,7,2,5,High,Medium,Flashcards,Yes,No,25
S024,24,37.2,6,90.9,2,50,26.7,75.2,7,1,0.76,0,0.89,0.55,0.87,68.2,9.7,Adaptive,13,Female,10,Mild,4,High,Minimal,6.0,6,3,6.0,5.0,Beginner,High,Medium,Non-verbal,7,8,7,Medium,Audio,Medium,Medium,Medium,4,7,6,High,Medium,Worksheet,No,Yes,20
S025,14,18.7,4,50.1,19,56,16.9,89.0,5,3,0.41,1,0.87,0.7,0.42,53.2,16.8,Competency-Based,16,Female,12,Severe,2,Low,Full,1.0,2,4,1.0,3.0,Emerging,Low,Low,Verbal,7,1,3,High,Audio,High,High,Short,3,3,1,Easy,Easy,Video,Yes,No,10
S026,19,19.1,5,75.0,3,26,9.7,91.3,5,3,0.51,1,0.77,0.62,0.67,65.5,15.2,Competency-Based,15,Male,8,Moderate,2,Medium,Partial,4.0,6,6,6.0,2.0,Emerging,Medium,Low,Non-verbal,8,5,6,Low,Audio,Medium,High,Medium,3,6,7,Medium,Medium,Story,Yes,No,30
S027,12,42.1,6,84.0,17,19,19.9,93.8,0,1,0.3,0,0.48,0.48,0.43,73.1,18.3,Adaptive,13,Male,12,Severe,2,Low,Partial,3.0,3,4,4.0,3.0,Beginner,Low,Medium,AAC,3,1,4,High,Mixed,High,High,Short,4,4,4,Easy,Easy,Flashcards,Yes,Yes,20
S028,18,39.9,5,61.6,5,44,27.0,80.7,6,3,0.73,1,0.55,0.56,0.63,58.0,15.4,Competency-Based,18,Male,6,Mild,3,Low,Minimal,7.0,7,8,10.0,8.0,Intermediate,High,High,Non-verbal,7,9,7,High,Audio,Medium,Low,Medium,6,9,5,High,Medium,Flashcards,No,No,20
S029,17,24.6,3,58.7,2,25,21.0,67.8,2,1,0.67,1,0.43,0.29,0.71,58.8,8.7,Competency-Based,12,Male,6,Mild,4,High,Minimal,5.0,7,7,4.0,5.0,Intermediate,High,High,Verbal,7,8,8,Low,Visual,Low,Low,Medium,7,6,8,High,Medium,Flashcards,No,Yes,15
S030,17,57.6,3,53.8,10,19,13.0,69.7,5,2,0.77,0,0.91,0.52,0.41,52.5,19.0,Competency-Based,13,Female,8,Severe,2,Low,Full,5.0,2,3,4.0,5.0,Emerging,Low,Low,Non-verbal,3,2,3,Low,Visual,High,High,Short,4,4,3,Easy,Easy,Story,Yes,Yes,20
S031,21,50.2,2,64.7,14,26,16.5,71.2,2,1,0.69,1,0.76,0.44,0.61,59.2,6.6,Competency-Based,14,Female,11,Severe,2,Low,Full,2.0,5,3,3.0,5.0,Beginner,Low,Medium,Verbal,2,1,3,Medium,Audio,Medium,High,Short,5,3,3,Easy,Easy,Story,Yes,No,10
S032,14,20.1,8,75.2,4,56,17.9,82.6,5,3,0.46,1,0.81,0.19,0.58,71.6,9.0,Adaptive,13,Male,7,Mild,4,High,Minimal,3.0,5,6,10.0,6.0,Intermediate,High,High,AAC,6,5,6,High,Hands-on,Medium,Low,Medium,7,6,7,High,Medium,Worksheet,No,Yes,10
S033,22,56.9,6,55.2,19,32,20.7,61.2,4,1,0.42,1,0.57,0.27,0.34,55.6,12.8,Competency-Based,17,Female,8,Mild,4,High,Minimal,8.0,5,6,6.0,3.0,Beginner,High,Medium,AAC,2,7,7,Low,Visual,Low,Low,Medium,6,7,7,Easy,Medium,Flashcards,No,Yes,25
S034,5,58.8,5,67.0,9,18,24.7,84.2,0,3,0.65,0,0.87,0.3,0.79,67.1,13.5,Adaptive,15,Female,8,Mild,4,High,Partial,3.0,6,5,7.0,5.0,Beginner,High,Medium,Verbal,7,4,5,Medium,Audio,Medium,Low,Medium,6,6,5,High,Medium,Worksheet,Yes,Yes,30
S035,7,59.8,4,50.4,11,31,10.2,73.8,5,2,0.48,0,0.54,0.75,0.5,47.8,5.2,Competency-Based,16,Male,8,Mild,5,High,Minimal,7.0,8,6,9.0,9.0,Intermediate,High,High,Verbal,7,4,5,Medium,Hands-on,Low,Medium,Medium,8,5,10,High,Medium,Video,Yes,Yes,10
S036,21,17.5,3,86.8,14,45,27.6,71.2,4,1,0.58,0,0.4,0.26,0.64,71.5,16.7,Adaptive,16,Male,5,Moderate,2,Medium,Partial,6.0,4,1,5.0,6.0,Beginner,Medium,Medium,Non-verbal,5,6,2,Medium,Audio,Low,High,Medium,3,2,7,Medium,Easy,Worksheet,Yes,No,10
S037,9,48.2,8,55.8,16,44,8.3,93.4,7,2,0.3,1,0.61,0.3,0.61,64.6,10.4,Competency-Based,9,Male,5,Moderate,2,High,Partial,4.0,5,4,5.0,5.0,Beginner,Medium,Medium,Non-verbal,3,5,4,Low,Hands-on,Medium,High,Medium,4,3,4,Medium,Easy,Video,Yes,Yes,15
S038,23,39.6,3,62.8,9,32,16.1,77.5,3,3,0.33,0,0.71,0.36,0.61,61.9,11.1,Competency-Based,18,Female,2,Mild,4,High,Minimal,1.0,10,6,5.0,7.0,Beginner,High,Medium,Verbal,10,7,5,High,Audio,Medium,Low,Long,6,5,8,High,Medium,Story,Yes,No,30
S039,11,46.8,4,50.8,5,30,8.6,63.6,4,3,0.57,1,0.66,0.56,0.36,48.8,17.1,Competency-Based,10,Female,9,Severe,2,Low,Full,3.0,1,4,3.0,2.0,Beginner,Medium,Medium,AAC,2,5,3,High,Audio,High,High,Short,5,4,3,High,Easy,Video,Yes,No,10
S040,9,58.6,8,69.5,17,53,16.6,91.4,1,2,0.58,0,0.87,0.18,0.55,72.5,10.7,Adaptive,10,Male,7,Moderate,2,Medium,Partial,7.0,5,5,3.0,8.0,Emerging,Medium,Low,Verbal,4,5,5,High,Mixed,Medium,High,Medium,2,3,3,Medium,Easy,Quiz,Yes,Yes,10
S041,20,46.0,8,87.8,12,6,19.6,61.8,5,1,0.68,1,0.46,0.77,0.57,58.8,5.7,Competency-Based,17,Female,3,Moderate,3,High,Minimal,6.0,8,5,6.0,6.0,Beginner,High,Medium,AAC,5,9,7,Medium,Audio,Medium,Low,Long,5,8,4,High,Medium,Story,Yes,Yes,30
S042,6,52.7,5,67.6,2,29,19.3,87.6,4,1,0.37,0,0.7,0.71,0.74,59.7,7.6,Competency-Based,13,Male,6,Mild,4,High,Minimal,9.0,5,7,7.0,5.0,Intermediate,High,High,Verbal,9,9,5,Medium,Mixed,Low,Low,Medium,8,8,6,High,Medium,Video,Yes,Yes,20
S043,16,54.0,5,58.1,9,7,11.6,89.4,2,3,0.56,0,0.68,0.5,0.8,60.9,19.3,Competency-Based,16,Male,9,Mild,5,High,Minimal,6.0,6,5,7.0,8.0,Beginner,High,Medium,Verbal,1,8,5,Low,Mixed,Low,Low,Medium,5,5,8,High,Medium,Worksheet,Yes,No,25
S044,20,52.7,6,83.9,13,12,22.2,73.4,3,2,0.4,1,0.55,0.57,0.63,64.9,6.1,Competency-Based,18,Male,10,Mild,4,High,Minimal,9.0,8,8,5.0,7.0,Intermediate,High,High,AAC,5,7,7,High,Visual,Medium,Low,Medium,7,5,6,High,Hard,Flashcards,Yes,No,15
S045,11,34.2,6,85.5,5,48,9.0,91.3,6,2,0.35,0,0.85,0.11,0.35,79.8,10.3,Adaptive,14,Male,10,Moderate,2,Medium,Partial,5.0,5,2,6.0,4.0,Beginner,Medium,Medium,Non-verbal,8,4,4,High,Visual,Medium,High,Medium,5,5,4,Medium,Easy,Flashcards,Yes,No,10
S046,23,25.0,7,57.8,2,37,24.8,79.6,5,1,0.51,1,0.81,0.34,0.44,60.7,12.5,Competency-Based,14,Female,5,Mild,5,High,Minimal,8.0,9,8,5.0,7.0,Beginner,High,Medium,Non-verbal,6,5,8,Medium,Visual,Medium,Medium,Medium,6,7,7,High,Medium,Flashcards,No,No,30
S047,4,32.8,9,84.7,15,46,28.8,77.6,1,1,0.38,0,0.8,0.66,0.4,64.9,12.4,Competency-Based,10,Male,12,Mild,4,High,Minimal,8.0,7,6,6.0,7.0,Intermediate,Medium,High,Verbal,7,5,9,High,Hands-on,Low,Low,Long,9,7,7,High,Medium,Worksheet,Yes,Yes,25
S048,22,55.1,7,92.6,6,56,15.5,61.7,6,1,0.41,0,0.88,0.15,0.37,72.9,5.1,Adaptive,15,Female,5,Mild,4,High,Minimal,6.0,8,7,6.0,9.0,Intermediate,High,High,Non-verbal,8,4,5,Medium,Mixed,Low,Medium,Long,8,3,5,Medium,Medium,Quiz,No,Yes,30
S049,17,21.6,2,57.5,19,39,19.4,71.0,4,2,0.46,1,0.8,0.3,0.52,58.9,12.5,Competency-Based,12,Male,10,Severe,2,Low,Minimal,1.0,3,4,3.0,1.0,Emerging,Low,Low,Non-verbal,2,2,6,High,Visual,High,High,Short,3,3,1,Easy,Easy,Story,Yes,Yes,10
S050,9,38.1,3,84.7,13,10,16.3,95.4,6,1,0.43,1,0.53,0.51,0.44,72.7,10.8,Adaptive,11,Female,7,Moderate,2,Medium,Partial,4.0,4,5,5.0,4.0,Beginner,Medium,High,Verbal,6,5,4,Medium,Visual,Medium,High,Short,4,5,5,Medium,Easy,Story,Yes,Yes,10
S051,14,25.5,6,81.9,8,43,8.1,74.9,6,1,0.34,1,0.79,0.28,0.43,70.0,19.6,Adaptive,17,Female,10,Moderate,2,Medium,Partial,5.0,1,4,1.0,5.0,Beginner,Medium,Medium,Non-verbal,6,5,5,Medium,Hands-on,Medium,High,Short,5,2,6,Medium,Easy,Video,Yes,No,25
S052,10,41.2,5,71.3,14,56,16.5,80.8,3,3,0.34,0,0.57,0.75,0.33,58.5,7.4,Competency-Based,12,Male,12,Severe,2,Medium,Full,2.0,3,3,6.0,2.0,Emerging,Low,Low,Non-verbal,3,4,4,Medium,Visual,High,High,Short,2,1,6,Easy,Easy,Flashcards,Yes,Yes,10
S053,17,53.8,4,52.6,2,27,25.4,80.2,7,1,0.4,1,0.53,0.19,0.31,61.6,10.3,Competency-Based,17,Male,10,Mild,4,High,Minimal,10.0,8,8,7.0,7.0,Intermediate,High,High,Verbal,6,6,7,Medium,Mixed,Medium,Low,Medium,9,8,6,High,Medium,Quiz,No,Yes,30
S054,5,54.6,5,53.4,1,29,21.1,82.4,6,1,0.33,0,0.44,0.66,0.36,53.3,11.3,Competency-Based,16,Male,12,Moderate,3,High,Minimal,8.0,7,4,3.0,7.0,Beginner,High,Medium,Verbal,6,7,2,High,Audio,Medium,Low,Medium,6,7,5,Medium,Medium,Video,Yes,Yes,30
S055,16,25.7,3,88.4,1,54,10.2,62.3,6,2,0.61,1,0.81,0.46,0.4,65.2,10.9,Adaptive,17,Male,9,Severe,2,Low,Full,2.0,1,2,6.0,2.0,Emerging,Low,Low,Non-verbal,2,1,4,Medium,Mixed,Medium,High,Short,3,3,1,Easy,Easy,Quiz,Yes,Yes,15
S056,19,55.8,7,94.6,2,47,26.6,73.8,5,2,0.44,1,0.79,0.63,0.56,67.9,15.0,Competency-Based,16,Male,5,Moderate,2,Medium,Full,7.0,5,5,1.0,5.0,Beginner,Medium,Medium,Verbal,3,6,6,Medium,Hands-on,Low,High,Medium,5,4,4,Medium,Easy,Video,Yes,Yes,10
S057,6,41.6,5,80.4,17,23,19.7,87.5,7,3,0.44,1,0.53,0.32,0.61,72.3,8.2,Adaptive,10,Male,5,Mild,4,High,Minimal,9.0,5,7,5.0,9.0,Intermediate,High,High,Verbal,3,6,2,High,Mixed,Medium,Low,Medium,7,5,7,High,Medium,Flashcards,No,Yes,15
S058,20,30.8,9,70.1,13,9,26.5,67.6,3,1,0.47,1,0.81,0.46,0.38,59.8,8.3,Competency-Based,12,Female,4,Moderate,3,High,Minimal,10.0,7,4,8.0,6.0,Emerging,High,Low,Verbal,7,8,9,Low,Audio,Medium,Medium,Long,3,5,8,High,Medium,Flashcards,Yes,Yes,20
S059,10,46.9,2,79.1,19,55,20.8,67.7,1,3,0.63,1,0.9,0.7,0.55,58.8,15.9,Competency-Based,11,Male,7,Moderate,2,Medium,Partial,3.0,6,7,3.0,1.0,Beginner,Medium,Medium,Verbal,4,4,4,Medium,Audio,Low,High,Medium,5,6,6,Medium,Easy,Quiz,Yes,Yes,10
S060,6,36.7,3,76.7,17,15,20.3,60.4,4,2,0.74,1,0.46,0.43,0.51,60.8,12.5,Competency-Based,18,Male,11,Mild,4,Low,Minimal,6.0,5,7,7.0,6.0,Beginner,High,Medium,Non-verbal,4,5,7,Low,Hands-on,Low,Low,Medium,5,7,10,High,Medium,Video,No,Yes,15
S061,4,32.0,7,67.3,9,16,10.3,76.6,3,3,0.68,0,0.53,0.35,0.41,63.6,11.2,Competency-Based,9,Female,6,Moderate,2,Medium,Minimal,2.0,7,4,4.0,2.0,Beginner,Medium,Medium,Non-verbal,5,4,5,Medium,Visual,Medium,High,Medium,5,5,4,Medium,Easy,Worksheet,Yes,No,20
S062,8,46.7,9,53.0,1,14,11.7,93.5,3,2,0.66,1,0.81,0.48,0.3,60.4,7.5,Competency-Based,9,Female,10,Moderate,2,Medium,Partial,4.0,4,2,1.0,5.0,Emerging,Medium,Low,Non-verbal,3,6,2,Low,Hands-on,Medium,High,Short,10,5,9,Medium,Medium,Worksheet,Yes,Yes,20
S063,24,26.2,4,87.0,0,12,29.4,62.0,0,3,0.54,0,0.55,0.6,0.58,62.4,7.8,Competency-Based,16,Female,6,Mild,5,High,Minimal,10.0,5,9,5.0,7.0,Beginner,High,Medium,AAC,2,8,7,High,Visual,Medium,Medium,Medium,5,7,5,High,Medium,Flashcards,Yes,Yes,15
S064,12,29.9,7,66.7,3,28,13.0,67.3,3,3,0.65,1,0.74,0.41,0.71,59.4,5.2,Competency-Based,12,Male,10,Moderate,2,Medium,Partial,6.0,5,5,6.0,5.0,Beginner,Medium,Medium,Verbal,1,8,5,High,Visual,Medium,High,Medium,2,4,5,Medium,Easy,Story,Yes,Yes,20
S065,6,34.6,8,86.8,13,32,29.5,71.8,7,1,0.58,1,0.44,0.76,0.44,61.4,6.4,Competency-Based,8,Male,11,Mild,4,High,Minimal,6.0,8,8,7.0,5.0,Intermediate,High,High,Verbal,4,5,6,Low,Audio,Medium,Medium,Medium,9,9,9,Medium,Medium,Quiz,No,No,25
S066,24,26.4,9,61.4,0,45,19.7,87.8,0,3,0.41,1,0.65,0.31,0.38,65.7,13.4,Adaptive,11,Male,5,Severe,2,Low,Full,5.0,2,4,1.0,3.0,Emerging,Medium,Low,Verbal,3,4,3,Low,Mixed,High,High,Short,2,4,3,Easy,Easy,Worksheet,Yes,Yes,20
S067,20,33.2,9,50.0,13,40,11.0,84.3,4,1,0.4,0,0.81,0.43,0.83,57.3,18.4,Competency-Based,13,Male,11,Moderate,2,Medium,Partial,4.0,4,6,1.0,3.0,Emerging,Medium,Low,Verbal,5,4,5,Medium,Mixed,Low,High,Short,5,4,4,Medium,Easy,Video,Yes,Yes,20
S068,14,40.7,2,57.2,15,41,10.2,75.8,6,1,0.45,0,0.78,0.63,0.47,53.4,9.3,Competency-Based,15,Male,7,Severe,2,Low,Full,4.0,3,5,6.0,9.0,Beginner,Low,Medium,Non-verbal,1,1,1,Medium,Audio,High,High,Short,4,2,3,Easy,Easy,Video,Yes,Yes,15
S069,4,48.3,3,71.1,13,25,12.6,88.8,5,1,0.76,1,0.85,0.58,0.43,64.0,9.9,Competency-Based,10,Female,5,Moderate,1,Low,Partial,7.0,3,4,4.0,6.0,Beginner,Medium,Medium,Verbal,5,2,3,Medium,Mixed,Medium,Medium,Short,7,4,4,Medium,Easy,Quiz,Yes,No,20
S070,12,49.5,4,92.5,19,12,28.4,83.2,5,1,0.57,0,0.88,0.7,0.81,68.5,6.7,Competency-Based,10,Male,6,Moderate,2,Medium,Partial,3.0,3,5,6.0,5.0,Intermediate,Medium,Medium,Verbal,4,7,7,Medium,Visual,Low,High,Short,4,6,4,Medium,Easy,Story,Yes,No,20
S071,6,52.0,2,54.6,2,59,17.1,94.0,4,3,0.67,1,0.83,0.8,0.79,54.6,10.8,Competency-Based,17,Male,3,Mild,4,High,Minimal,8.0,9,7,7.0,9.0,Beginner,High,Medium,Verbal,7,3,10,High,Audio,Medium,Low,Long,6,7,7,Medium,Hard,Video,Yes,Yes,15
S072,16,48.5,7,88.4,2,13,16.7,91.1,4,2,0.47,1,0.77,0.4,0.57,75.3,5.6,Adaptive,16,Male,3,Moderate,2,Medium,Partial,4.0,4,7,3.0,1.0,Beginner,Medium,Medium,Verbal,3,5,1,Medium,Visual,Low,High,Short,4,6,4,Medium,Easy,Flashcards,Yes,No,15
S073,18,45.6,2,73.7,8,51,14.9,69.6,7,2,0.5,0,0.42,0.18,0.59,67.1,18.8,Adaptive,13,Female,7,Mild,3,High,Minimal,5.0,10,8,10.0,10.0,Beginner,High,Medium,Non-verbal,5,9,5,Low,Visual,Low,Low,Long,5,6,9,High,Medium,Video,Yes,Yes,25
S074,17,25.7,9,87.2,5,19,11.2,70.3,2,2,0.36,0,0.69,0.12,0.43,74.4,15.1,Adaptive,16,Male,5,Moderate,3,Medium,Minimal,6.0,3,3,5.0,7.0,Beginner,Medium,Medium,Verbal,3,3,3,High,Audio,Medium,High,Short,3,3,2,Medium,Easy,Video,Yes,Yes,15
S075,10,33.0,3,63.4,12,52,18.7,64.8,6,3,0.39,0,0.42,0.61,0.35,53.0,19.9,Competency-Based,18,Male,9,Severe,2,Medium,Full,5.0,2,5,6.0,3.0,Emerging,Low,Low,Verbal,6,3,1,Low,Hands-on,High,High,Short,1,2,4,Easy,Easy,Worksheet,Yes,Yes,15
S076,16,36.5,6,87.8,1,50,10.9,72.8,4,1,0.71,0,0.84,0.71,0.64,63.4,18.2,Competency-Based,14,Male,3,Severe,1,Low,Full,3.0,4,2,1.0,1.0,Emerging,Low,Low,Verbal,1,1,3,Low,Visual,High,High,Short,3,2,3,Easy,Easy,Story,Yes,Yes,15
S077,10,18.7,2,84.8,7,44,26.4,98.0,3,2,0.59,1,0.58,0.25,0.36,79.0,12.1,Adaptive,11,Male,6,Mild,3,High,Minimal,5.0,5,6,9.0,7.0,Beginner,High,Medium,Verbal,6,9,10,High,Visual,Medium,Low,Medium,4,8,7,High,Medium,Worksheet,Yes,Yes,25
S078,23,38.8,8,60.4,1,22,16.1,75.4,7,3,0.47,0,0.71,0.21,0.57,62.9,12.8,Competency-Based,17,Female,10,Moderate,1,Medium,Partial,8.0,3,5,4.0,5.0,Beginner,Medium,Medium,AAC,6,4,4,High,Hands-on,Low,High,Medium,3,6,5,Medium,Easy,Flashcards,Yes,Yes,15
S079,18,34.6,2,55.9,3,46,16.2,68.4,5,1,0.7,0,0.55,0.14,0.86,60.6,7.9,Competency-Based,12,Female,7,Moderate,2,Medium,Partial,3.0,6,4,6.0,2.0,Beginner,Medium,Medium,Non-verbal,5,4,5,High,Visual,Medium,High,Medium,3,5,5,Medium,Easy,Quiz,Yes,No,15
